run_id,series_id,series_title,status,width,height,recorded_quality,created_local,started_local,finished_local,queue_seconds,generation_seconds,end_to_end_seconds
01KYTZXEH2ATGXBN03ZBVE69XZ,ps_012,牵手吧,SUCCEEDED,1024,1536,medium,"2026-07-30 19:26:37,731","2026-07-30 19:26:37,735","2026-07-30 19:30:10,609",0.004,212.874,212.878
01KYTZXGKKPPYPKMT65A8R8QYA,01KYSE3ZY96J3QWHW1G68R2KAF,新创作,SUCCEEDED,0,0,low,"2026-07-30 19:26:39,859","2026-07-30 19:26:39,861","2026-07-30 19:28:09,316",0.002,89.455,89.457
01KYV4Q2Q8B9YS9HZBSDZK0C7B,01KYV4Q2Q01V6GPEFSB0WAQJA1,牵手将成,SUCCEEDED,1024,1536,medium,"2026-07-30 20:50:31,912","2026-07-30 20:50:31,920","2026-07-30 20:52:48,370",0.008,136.450,136.458
01KYV4Q2QANRCS6TBK0T4GP080,01KYV4Q2QAQ7DKBH4VEC09D2D9,海风回身,SUCCEEDED,1024,1536,medium,"2026-07-30 20:50:31,914","2026-07-30 20:50:31,924","2026-07-30 20:52:24,059",0.010,112.135,112.145
01KYV4Q2QC4E0B4BX8WSMMND77,01KYV4Q2QBEPWQRVZ6RWZSPBGY,贴近随拍,SUCCEEDED,1024,1536,medium,"2026-07-30 20:50:31,916","2026-07-30 20:50:31,926","2026-07-30 20:52:57,511",0.010,145.585,145.595
01KYW3W9P9H71WDCK1FHM6CBHY,01KYW3VKS22V0FFNFW7AW371NY,写实摄影构图指导,SUCCEEDED,0,0,low,"2026-07-31 05:55:08,745","2026-07-31 05:55:08,749","2026-07-31 06:00:13,699",0.004,304.950,304.954
01KYW5C1VPQPFQ5RJ906SFJM1T,01KYW3VKS22V0FFNFW7AW371NY,写实摄影构图指导,SUCCEEDED,0,0,low,"2026-07-31 06:21:13,590","2026-07-31 06:21:13,592","2026-07-31 06:26:21,079",0.002,307.487,307.489
01KYW5W84FPSZHM2D02BJ4HMVS,01KYW3VKS22V0FFNFW7AW371NY,写实摄影构图指导,SUCCEEDED,0,0,low,"2026-07-31 06:30:04,303","2026-07-31 06:30:04,305","2026-07-31 06:34:41,580",0.002,277.275,277.277
01KYW6R627M45C7A8DMYSN4JPM,01KYW3VKS22V0FFNFW7AW371NY,写实摄影构图指导,SUCCEEDED,0,0,low,"2026-07-31 06:45:19,688","2026-07-31 06:45:19,690","2026-07-31 06:49:25,358",0.002,245.668,245.670
01KZ41X4V17VGP1CYK4XXMMMH9,01KZ402Z60BQRPH10SKRXVRGQN,温暖午后,SUCCEEDED,0,0,low,"2026-08-03 07:54:34,849","2026-08-03 07:54:34,855","2026-08-03 08:01:41,069",0.006,426.214,426.220
01KZ41XD67GN64C7RSV1PDY986,01KZ402Z73TBNKEB1TXYQXHG8D,户外漫步,SUCCEEDED,0,0,low,"2026-08-03 07:54:43,400","2026-08-03 07:54:54,561","2026-08-03 07:58:59,564",11.161,245.003,256.164
01KZ41ZCVW2M9302CY5PT97MP6,01KZ40812M4T5EC60K2E6BNMP2,林荫道,SUCCEEDED,0,0,low,"2026-08-03 07:55:48,605","2026-08-03 07:58:58,561","2026-08-03 08:04:48,054",189.956,349.493,539.449
01KZ42CGPEKCMBY0BTHCRXYHCM,01KZ40812M4T5EC60K2E6BNMP2,林荫道,SUCCEEDED,0,0,low,"2026-08-03 08:02:58,510","2026-08-03 08:02:58,523","2026-08-03 08:08:26,647",0.013,328.124,328.137
